Seed_ID,Name
rxn03921,R05649
rxn03618,formaldehyde_NAD_plus__oxidoreductase_mycothiol_formylating
rxn12639,RXN0_6976c
rxn10321,isotetradecanoyl_lipoteichoic_acid_synthesis_n24__unlinked__D_alanine_substituted
rxn01281,R_Glycerate_NADP_plus__oxidoreductase
rxn12643,RXN0_6979c
rxn10294,isotetradecanoyl_lipoteichoic_acid_synthesis_n24__linked__unsubstituted
rxn02334,3_5_Cyclic_nucleotide_5_nucleotidohydrolase
rxn03886,D_sorbitol_6_phosphate_NAD_2_oxidoreductase
rxn14054,trans_3_Chloro_2_propene_1_ol_NAD_plus__oxidoreductase
rxn03012,R04336
rxn10195,Teichoic_acid_glucose_substituted_export
rxn02283,5_Formyltetrahydrofolate_L_glutamate_N_formiminotransferase
rxn05396,9_methyl_decanoyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating
rxn03721,R05421
rxn05872,Secondary
rxn10299,myristoyl_lipoteichoic_acid_synthesis_n24__linked__glucose_substituted
rxn04727,R06918
rxn14089,cis_3_chloro_2_propene_1_ol_NAD_plus__oxidoreductase
rxn01215,3_phospho_D_glyceroyl_phosphate_alpha_D_glucose_1_phosphate_6_phosphotransferase
rxn05322,Butyryl_acyl_carrier_protein_malonyl_CoA_C_acyltransferasedecarboxylating__oxoacyl__and_enoyl_reducing
rxn05193,Butyro_betaine_ABC_transport
rxn08804,Lysophospholipase_L1_2_acylglycerophosphoethanolamine__n_C14_0_periplasm
rxn13782,Protein_biosynthesis
rxn04270,cis_2_Methyl_5_isopropylhexa_2_5_dienal_dehydrogenase
rxn05430,14_methyl_3_oxo_pentadecanoyl_ACP_NADP_plus__oxidoreductase
rxn00554,CTP_D_fructose_6_phosphate_1_phosphotransferase
rxn11838,4_hydroxy_5_phenyltetrahydro_1_3_oxazin_2_one_NAD_plus__oxidoreductase
rxn02548,S_Adenosyl_L_methionine_5_7_4_trihydroxyflavone_4_O_methyltransferase
rxn05364,6_methyl_3_oxo_octanoyl_ACP_NADP_plus__oxidoreductase
rxn02115,R_Acetoin_racemase
rxn00376,N_Formyl_L_aspartate_amidohydrolase
rxn08850,Lysophospholipase_L2_2_acylglycerophosphoglycerol__n_C18_0
rxn00772,ATP_D_ribose_5_phosphotransferase
rxn08812,Lysophospholipase_L1_2_acylglycerophosphoglycerol__n_C14_1_periplasm
rxn00546,D_Mannitol_1_phosphate_NAD_plus__5_oxidoreductase
rxn02503,ATP_2_amino_4_hydroxy_6_hydroxymethyl_7_8_dihydropteridine_6_pyrophosphotransferase
rxn02262,ATP_6_deoxy_L_galactose_1_phosphotransferase
rxn05429,12_methyl_tridecanoyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating
rxn03837,R05548
rxn06752,R04634
rxn03462,Gal_beta1_3GalNAc_beta1_4Gal_beta1_4Glc_beta1_1Cer_galactohydrolase
rxn10224,anteisopentadecanoyl_phosphatidate_cytidylyltransferase
rxn01593,ATP_streptomycin_6_phosphotransferase
rxn03147,1_5_Phosphoribosyl_5_amino_4_carboxyimidazole_L_aspartate_ligase_ADP_forming
rxn03843,Farnesyl_diphosphate_Isopentenyl_diphosphate_farnesyl_cistransferase
rxn05376,12_methyl_3_oxo_tetra_decanoyl_ACP_NADP_plus__oxidoreductase
rxn11809,alcophosphamide_NAD_plus__oxidoreductase
rxn02182,beta_alanyl_CoA_ammonia_lyase_acryloyl_CoA_forming
rxn10258,isohexadecanoyl_Diacylglycerol_kinase
rxn08847,Lysophospholipase_L2_2_acylglycerophosphoglycerol__n_C14_1
rxn00572,nitrite_NADP_plus__oxidoreductase
rxn00863,L_histidinal_NAD_plus__oxidoreductase
rxn10316,palmitoyl_lipoteichoic_acid_synthesis_n24__unlinked__D_alanine_substituted
rxn00908,glycine_synthase
rxn08299,diacylglycerol_kinase_n_C18_0
rxn14090,dimethylallyl_diphosphate_leachianone_G_2_dimethylallyltransferase
rxn10324,isohexadecanoyl_lipoteichoic_acid_synthesis_n24__unlinked__D_alanine_substituted
rxn05452,14_methyl_hexa_decanoyl_ACP_acyl_carrier_protein_transferase
rxn05380,14_methyl_3_oxo_hexa_decanoyl_ACP_NADP_plus__oxidoreductase
rxn00404,L_Arginine_glycine_amidinotransferase
rxn00145,S_Lactate_ferricytochrome_c_2_oxidoreductase
rxn05388,5_methyl_hexanoyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating
rxn04736,2_naphthylmethanol_NAD_plus__oxidoreductase
rxn03489,galactitol_1_phosphate_NAD_plus__oxidoreductase
rxn07579,R07765
rxn05919,Acyl_CoA_glycerone_phosphate_O_acyltransferase
rxn05871,primary
rxn00690,Formate_tetrahydrofolate_ligase_ADP_forming
rxn02339,4_Hydroxy_L_glutamate_2_oxoglutarate_aminotransferase
rxn09989,Maltodextrin_glucosidase_dextrin
rxn10305,anteisopentadecanoyl_lipoteichoic_acid_synthesis_n24__linked__glucose_substituted
rxn02737,UDPglucosamine_4_epimerase
rxn08846,Lysophospholipase_L2_2_acylglycerophosphoglycerol__n_C14_0
rxn05397,11_methyl_3_oxo_dodecanoyl_ACP_NADP_plus__oxidoreductase
rxn03005,R04326
rxn05012,carbamoyl_phosphate_N2_acetyl_L_ornithine_carbamoyltransferase
rxn05409,2_methylpropionyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating
rxn00775,ADP_ribose_ribophosphohydrolase
rxn05405,15_methyl_3_oxo_hexa_decanoyl_ACP_NADP_plus__oxidoreductase
rxn05363,4_methyl_hexanoyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating
rxn00547,ATP_D_fructose_6_phosphotransferase
rxn05325,Octanoyl_acyl_carrier_protein_malonyl_CoA_C_acyltransferasedecarboxylating__oxoacyl__and_enoyl_reducing
rxn11040,RXN_3341c
rxn03366,R04917
rxn08803,Lysophospholipase_L1_2_acylglycerophosphoethanolamine__n_C12_0_periplasm
rxn07879,3_hydroxy_3_4_methylpent_3_en_1_ylglutaryl_CoA_acetate_lyase_7_methyl_3_oxooct_6_enoyl_CoA_forming
rxn06062,O_Acylcarnitine_acylhydrolase
rxn05442,11_methyl_trans_dodec_2_enoyl_ACP_NAD_plus__oxidoreductase_A_specific
